step,total_loss,data_loss,curv_loss_raw,curv_loss_weighted,lambda_curv_eff,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3929702341556549,0.3929702341556549,9.363070487976074,4.681535367700995e-11,5.0000000000000005e-12,0.2518152690448599,0.20885136489516776,-0.03735146636462553,0.5973601848668011,0.43979084730772305,0.5354874426279222
250,1.4622818298448692e-06,6.348911174569594e-09,1164.746337890625,1.4559328747054678e-06,1.25e-09,4.446560889108587e-05,2.944151280061985e-05,-1.0497467530155649e-07,0.00011243384536818724,0.00010600670466462949,0.00011119017720464085
500,2.9030959467490902e-06,6.963108561963693e-11,1161.2105712890625,2.9030263704044046e-06,2.5e-09,4.851953187814758e-06,3.602564424723266e-06,2.2070898759401255e-08,1.4235832711761987e-05,9.453644668866439e-06,1.3600736317123101e-05
750,4.32449132858892e-06,1.6153030302223925e-10,1153.1546630859375,4.324329893279355e-06,3.7500000000000005e-09,7.370213558952598e-06,5.448425603000422e-06,1.795939143432536e-08,2.1643946466198827e-05,1.4368211510884513e-05,2.0805299627397737e-05
1000,5.697484994016122e-06,2.9818261748637553e-10,1139.4373779296875,5.6971866797539406e-06,5e-09,1.0006276391292747e-05,7.415293578664059e-06,7.215419626861928e-08,2.867215695268044e-05,1.9926887076060487e-05,2.8028210539616787e-05
1250,6.997169748501619e-06,4.905870709670523e-10,1119.4686279296875,6.996679076110013e-06,6.25e-09,1.2833566934364964e-05,9.496846909593093e-06,6.52674216471469e-08,3.567528200498771e-05,2.6621818785876873e-05,3.5582906808784284e-05
1500,8.470795364701189e-06,3.057365347558516e-07,1088.674560546875,8.1650587162585e-06,7.500000000000001e-09,0.003172816057342431,0.0027085975533337418,-0.002626625794074493,0.005160213599166852,0.00512556827523456,0.005159771262293695
1750,9.27971450437326e-06,1.1030338864514988e-09,1060.4127197265625,9.27861128730001e-06,8.75e-09,1.924323012423262e-05,1.3853271503187836e-05,7.988986361340267e-09,5.717003631211526e-05,4.328587991162535e-05,5.291992202646863e-05
2000,1.0377415492257569e-05,8.531605288908395e-08,1029.2099609375,1.0292099432263058e-05,1e-08,9.938710099293047e-05,8.5841128308757e-05,8.397131409020901e-05,0.00019339800422812914,0.00015832506251705066,0.00018336272689356992
2250,1.0037600077339448e-05,1.4515765256462032e-09,1003.6148681640625,1.0036148523795418e-05,1e-08,2.2072853921109273e-05,1.54052012319994e-05,-5.967100464537062e-08,6.481990669371385e-05,5.0257629142969035e-05,6.0822911727420565e-05
2500,9.856303222477436e-06,1.564628959727088e-08,984.0657348632812,9.840657185122836e-06,1e-08,0.00017000493389875262,0.00015302185633387077,0.00015157757294798863,0.00027101458118927724,0.0002512227478962181,0.00026736862516473886
2750,9.638926712796092e-06,1.3308066870720836e-09,963.7596435546875,9.637596122047398e-06,1e-08,2.1159724172556026e-05,1.4583472387369192e-05,-1.1240108518014343e-07,6.0628019481256956e-05,4.933636371529101e-05,5.8208097962708626e-05
