step,train_mse_norm,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3929702341556549,0.25181526821874395,0.20885136499795545,-0.03735146626183782,0.5973601632813885,0.43979084730772305,0.5354874298925288
250,6.28482865749902e-09,4.423916681745285e-05,2.8390832588410743e-05,-8.572768188452344e-08,0.00011049115819439237,0.0001074039284506333,0.00010989044393648228
500,4.510884802624501e-14,1.195003899241216e-07,7.991284429953978e-08,-8.94528417476403e-09,3.2122727056105305e-07,2.7168538228039527e-07,3.1155018167083874e-07
750,4.585705509844431e-15,3.815314284577188e-08,2.7102778434238772e-08,-1.955721933606063e-09,1.3190975423071905e-07,7.493587430573707e-08,1.1040971878983877e-07
1000,1.4506470484343175e-15,2.679953210985045e-08,2.186087074325845e-08,1.3565218070525696e-08,6.907332128491817e-08,4.62369770914961e-08,6.190485651202942e-08
1250,2.7576373090143057e-15,2.6321609689153977e-08,2.120799294910317e-08,-4.139067501439188e-10,5.5886212990685635e-08,4.9141208791070304e-08,5.4810351635126144e-08
1500,1.95652540596245e-15,2.4592840124143845e-08,1.9618963681147133e-08,6.139702080076859e-10,7.398789314549958e-08,4.086915721401851e-08,6.194461208863788e-08
1750,2.9910814951017222e-15,3.57807872992005e-08,2.8456996336076588e-08,-3.805900018419162e-09,7.961633841091498e-08,5.934779014893365e-08,7.529370138925624e-08
2000,2.9980203890056295e-15,3.444233056908725e-08,2.7155149198049024e-08,-2.880810976012613e-09,7.544847058227333e-08,6.880303367040594e-08,7.389889040254614e-08
2250,3.7878978823198146e-15,4.8452039703116304e-08,3.5027319669095074e-08,-1.511254507778945e-08,1.3808749343979798e-07,1.0268268901825192e-07,1.3058635291329772e-07
2500,7.755458229015844e-15,5.337445592943373e-08,4.286099949032026e-08,2.538580131291231e-08,1.1495035145969723e-07,1.0924736892903291e-07,1.137532664330365e-07
2750,8.276874736805329e-13,5.26387464987507e-07,4.429919543995419e-07,1.8537482693843578e-07,1.075551057994062e-06,9.33759750054719e-07,1.0313079226520467e-06
3000,8.475414846600081e-16,2.251022880194478e-08,1.790071561879629e-08,4.597886938908925e-10,5.12508826489011e-08,4.004925626688305e-08,4.872068828376539e-08
3250,1.4710094028489557e-15,2.1659431822238166e-08,1.6969753306265527e-08,-8.250572288862454e-10,4.5079676880277475e-08,4.4097451734614856e-08,4.507839797440738e-08
3500,3.445207410102038e-15,2.3148090092753227e-08,1.5406992380308437e-08,-7.736635036318754e-10,6.907332128491817e-08,5.154334292711837e-08,6.8821389938023e-08
3750,2.016455951596007e-15,2.1541104885354072e-08,1.634549773839245e-08,-4.885170617236716e-09,5.0670902140836915e-08,4.5297455475434804e-08,5.0138458522752666e-08
4000,1.8837496056837814e-15,2.9066398840117057e-08,2.1315701373293363e-08,5.907535793880925e-09,8.612592061751911e-08,5.8079791553922137e-08,7.803488111690619e-08
4250,2.4656254533054643e-15,3.396342914029493e-08,2.686174410946424e-08,4.4171144202615716e-09,8.612592061751911e-08,6.880673177889205e-08,8.345699191281139e-08
4500,2.3256085777837235e-15,3.880486937481659e-08,2.9660413638393514e-08,-2.058509384114803e-09,7.915069843988931e-08,7.483896746762751e-08,7.777763203264952e-08
4750,1.819151908510853e-15,3.0405704524350524e-08,2.326422741222565e-08,-6.9152274594416884e-09,7.887864938993516e-08,5.502623778852467e-08,7.485846486687816e-08
5000,3.4739955188803698e-15,3.4813758804826936e-08,2.58537473334692e-08,1.5312608662535847e-08,1.0962785346180226e-07,6.87972156576677e-08,9.406472630146808e-08
5250,7.242847441864698e-15,5.041194408673436e-08,3.9788032931856576e-08,-2.983598553403984e-09,1.4656729341311348e-07,8.844704382227062e-08,1.3138526053779728e-07
5500,6.7384147578192916e-15,5.4639646173099525e-08,4.131116786220716e-08,6.5756557024850994e-09,1.3814664434619317e-07,1.1828976358430053e-07,1.306016524971198e-07
5750,7.685490766473797e-15,6.203320606288902e-08,4.428633557228609e-08,1.6597454712195614e-08,1.9624155989106384e-07,1.3757057137908635e-07,1.8658267501692185e-07
6000,1.0755074608681525e-09,1.7621598184654906e-05,1.4587928865349484e-05,4.263424683049691e-06,3.8183509387224035e-05,3.1688460475276506e-05,3.6319888757656556e-05
6250,2.775314886623503e-15,3.0526308583734235e-08,2.3610637297129717e-08,1.0815647763639022e-08,7.915069843988931e-08,5.4725045828263306e-08,7.040628588583778e-08
6500,1.8895320878564497e-15,2.9365669369439296e-08,2.187791708643144e-08,2.2851642271570243e-10,7.17549646367388e-08,5.777072153989592e-08,7.065549086249233e-08
6750,3.072985345936477e-15,3.619528288914699e-08,2.882248014860319e-08,4.3409178896949706e-10,8.57875441795386e-08,6.87958678469158e-08,8.018377485541345e-08
7000,1.5746797769666592e-15,3.365734009941366e-08,2.73451423621076e-08,-4.422626159474757e-09,7.636994858728485e-08,6.634602227606477e-08,7.337833139331449e-08
7250,5.22090356380343e-15,4.609144834491491e-08,3.379254357819642e-08,2.309967117057676e-09,1.2143242145157274e-07,9.315175386603862e-08,1.148007431872599e-07
7500,4.67178057442794e-15,3.6887781142457765e-08,2.5522894570293548e-08,-4.653898388355737e-09,1.0360998281555567e-07,7.607101757400866e-08,9.606499096648228e-08
7750,2.2390709091268945e-06,0.0007417102132925695,0.0005794784009846698,0.00023485070446984562,0.0018938403987593944,0.0013871205018991077,0.001866459792872792
8000,2.4547215981754597e-15,3.191191252278376e-08,2.502408464571155e-08,-2.418266475956443e-09,8.520756367147442e-08,5.572617549631786e-08,7.834059294609112e-08
8250,3.565233672793867e-15,3.3563943939226806e-08,2.652250922589398e-08,-8.611224241609046e-09,6.907332128491817e-08,6.877926024273504e-08,6.907332128491817e-08
8500,2.303304929733097e-15,2.2869978542658863e-08,1.7873081004622583e-08,3.6976005749319742e-09,6.907332128491817e-08,3.761982618755155e-08,5.8365756903100324e-08
8750,3.291271242158067e-15,3.922139998261386e-08,3.1035890429060535e-08,1.4978548644792442e-08,8.893733749459898e-08,7.512971311740555e-08,8.84705463199964e-08
9000,6.2170888486738456e-15,4.9073001477905276e-08,3.643122760080143e-08,1.4284732000443715e-08,1.5400763864192868e-07,1.055557715012866e-07,1.3995963913160367e-07
9250,3.062169895429179e-08,8.559542304236234e-05,6.795197901931531e-05,-7.28250996531071e-06,0.0002356879790834654,0.0001691193261408762,0.0002151987167429679
9500,3.2512487236420647e-15,3.1650153785708286e-08,2.4078843765434633e-08,8.195454473788491e-10,7.961633841091498e-08,6.374189895907988e-08,7.596922369401679e-08
9750,2.504491560090228e-15,3.136657827283882e-08,2.5382050535445917e-08,-5.45050290615531e-09,6.907332128491817e-08,5.157234195252158e-08,6.60817040909478e-08
10000,4.335574986454342e-15,4.248220414039077e-08,3.368929271002365e-08,6.396672821059232e-10,1.0092833946373503e-07,7.540581874465601e-08,9.773562160475532e-08
