step,train_mse_norm,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.4068540930747986,0.28414461851103967,0.22665167172293366,0.13792787574059867,0.6478245590474181,0.583638947631463,0.6431624295838623
250,0.08219358325004578,0.16595238442665364,0.12300728399822863,-0.00017129045692015104,0.5364514252025199,0.31773249871140113,0.45643203261134857
500,0.030534004792571068,0.10096269772025059,0.06590661990123656,-0.00013808684949005788,0.3008275979297217,0.25475606538275875,0.296629808954111
750,0.0005577495903708041,0.013531878080939521,0.008372059730069466,-1.5761851237443347e-05,0.044411431499771226,0.028827937980708717,0.04250163311796717
1000,3.6123640256846556e-06,0.0010926832702328121,0.0007953277174604235,1.779637458816586e-06,0.0031305134219685726,0.0021530596918669428,0.002829141727906987
1250,9.796735156442082e-08,0.00018007407598787106,0.00011746580341322397,6.080634689098474e-07,0.0005820014116082461,0.0003971578645590945,0.0005181210722199652
1500,2.170254642663849e-09,2.6767437676957925e-05,1.677121214286156e-05,1.2825057320904015e-07,9.228882884571021e-05,6.246816208141929e-05,8.281840840348656e-05
1750,4.5798330405855125e-11,3.891056144138338e-06,2.1655264248465755e-06,1.9501206575493295e-08,1.4166901964429712e-05,8.722587034615258e-06,1.2413698393380895e-05
2000,3.483748445970436e-12,1.0779198341650925e-06,6.27295459851428e-07,-1.554939263063001e-08,3.840440365721065e-06,2.5887612932429237e-06,3.401661917781236e-06
2250,7.683967936759906e-13,5.128763694555633e-07,3.047595240718557e-07,1.4464610292599272e-08,1.8027773744933029e-06,1.241912408111999e-06,1.6259594991652177e-06
2500,2.190966998756247e-13,2.662925721216723e-07,1.6447520615311566e-07,-9.27934398103638e-09,9.738975119688575e-07,5.583214340632019e-07,9.03279869390871e-07
2750,1.021168555530999e-13,1.7632461485151453e-07,1.2093835000115405e-07,-1.4007577447167868e-08,5.249209209523542e-07,4.24688670452866e-07,5.109434018280011e-07
3000,3.191177316429379e-14,1.0571056920925315e-07,8.190010071187782e-08,1.6161501343552637e-09,3.522376168518804e-07,1.8668976657920662e-07,2.8791574456121737e-07
3250,1.4062293606583072e-14,6.995557291878667e-08,5.8214726584267175e-08,1.1894918235573945e-08,1.7955431275140654e-07,1.2418390102908455e-07,1.691922073554507e-07
3500,1.748085590126333e-14,9.942341087857787e-08,7.795381546620612e-08,5.177653840063169e-08,3.134256321146722e-07,1.6939396303428105e-07,2.557212776288504e-07
3750,1.8521029301150557e-14,9.771035076972374e-08,7.93460425405729e-08,-6.642929465764762e-08,2.472787379304009e-07,1.714425375887173e-07,2.332016527795132e-07
4000,1.7659944077301308e-14,1.1536721100889009e-07,9.18537390910095e-08,3.903086598895589e-08,2.689966596136628e-07,2.096858651157163e-07,2.554812340882505e-07
