step,train_mse_norm,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3019810914993286,0.28976500655000803,0.24158038917771452,-0.038470745759668426,0.6589297360075239,0.4836615242184713,0.624435168366866
250,3.723576080718466e-13,3.3816087672819375e-07,2.668597113022369e-07,8.471999034584531e-08,7.776289780991874e-07,6.571007953759533e-07,7.6733016106445e-07
500,7.916586447835833e-16,1.4656057629905963e-08,1.0576380194918112e-08,-1.4160864227262339e-09,4.43419896356545e-08,2.9066200024629986e-08,4.1570866446960485e-08
750,6.517242490950814e-16,1.738945980616881e-08,1.1996114535590897e-08,-3.266264761304596e-09,5.12508826489011e-08,4.4079444805333836e-08,4.985543247570944e-08
1000,5.082378736818278e-16,1.4049610209077463e-08,1.0520148604105847e-08,3.4663283883452054e-09,3.682476723554373e-08,3.127766197152935e-08,3.5299511029762684e-08
1250,1.4185546641287466e-15,2.2258100207389577e-08,1.757806175749552e-08,8.60571246010165e-09,5.0670902140836915e-08,4.1967710551205065e-08,4.886076018451034e-08
1500,1.4682834390664545e-15,2.1895332796973656e-08,1.699350243591252e-08,-4.345535529298992e-09,4.461403690925181e-08,4.287982857675842e-08,4.450249752707691e-08
1750,1.661994156631119e-15,2.0843280433989526e-08,1.7142945645042842e-08,4.031660550381167e-09,4.295731059755781e-08,3.721400689826737e-08,4.226350197811256e-08
2000,1.533707311000311e-15,1.5962124567234315e-08,1.151816475002187e-08,1.4619685356500495e-09,4.784734564111659e-08,3.70097954949244e-08,4.652168906105202e-08
2250,2.1960411242157854e-15,2.214032240947553e-08,1.7408391342211784e-08,-3.8820967604568156e-10,4.9899259835228804e-08,4.2802867650237875e-08,4.905797501564279e-08
2500,1.2749856500635765e-15,2.830886382016749e-08,2.2127928272788094e-08,-2.6495386625432125e-09,7.961633841091498e-08,4.7685680204523336e-08,6.721626592209861e-08
2750,1.696358283301226e-15,2.63012644334043e-08,2.067301419997204e-08,-7.788922692005448e-09,5.3709447556116174e-08,4.5751747723699054e-08,5.1931200317767416e-08
3000,2.300785430231489e-15,2.815507806873439e-08,2.253529253151566e-08,5.470688071863519e-09,6.639167793309753e-08,5.0529724315850885e-08,6.032268693445525e-08
3250,6.449633656302467e-05,0.00472126929145414,0.0035535301907959984,0.0013901076637908901,0.01651236348161511,0.007452796103210434,0.012959125192705288
3500,1.3797298502001617e-15,2.459834540053188e-08,1.8210295028522763e-08,1.564756155335631e-09,6.907332128491817e-08,4.8949236663986506e-08,6.152832943584478e-08
3750,9.847912094221875e-16,1.9313658680150328e-08,1.3925902124578031e-08,-2.5981447681120006e-09,5.158926086323845e-08,3.928788379070623e-08,4.8920331430224426e-08
4000,8.90950864415607e-16,2.5773239390691332e-08,1.923363914696232e-08,6.447171135583912e-09,6.907332128491817e-08,5.039134087780892e-08,6.190485651202942e-08
4250,1.7036275200545624e-15,2.0912205691082295e-08,1.4962505308820557e-08,2.7468146698982397e-09,6.065267221799786e-08,4.43558966445323e-08,5.693667356254647e-08
4500,1.5634453672289886e-15,2.240827590507061e-08,1.5892804194366016e-08,6.241595769330117e-09,7.21198141206969e-08,3.7601583802171486e-08,7.087075205802761e-08
4750,2.578919498132516e-15,2.8186603665269178e-08,2.1532733056923396e-08,4.340023578614754e-09,6.907332128491817e-08,5.060596999229005e-08,6.562085516748081e-08
5000,2.6582210519950685e-15,2.32613217078942e-08,1.9013479425820734e-08,-2.598144810406211e-09,6.065267221799786e-08,4.455548356929735e-08,5.57602338346896e-08
5250,2.5007743560012024e-15,2.7630921947192306e-08,1.943168470575074e-08,-6.709652093187894e-09,7.398789314549958e-08,6.187459788975498e-08,7.197291868266119e-08
5500,2.3636486156866773e-15,2.6250394554506234e-08,2.0712784672601476e-08,7.433482401048813e-11,5.4400675963961476e-08,5.060596999229005e-08,5.39548891431707e-08
5750,5.908184403139675e-15,3.640553058820105e-08,2.7779309984596454e-08,-2.1869940778986218e-09,7.544847058227333e-08,6.912951464599359e-08,7.343209922794356e-08
6000,8.43601242195291e-07,0.0003630010706504026,0.000298313271556457,3.8677896693767045e-05,0.00091814740781615,0.0006419859778866939,0.0008787215224773878
6250,4.296708879669578e-15,3.0371554084237465e-08,2.4557460361525802e-08,5.984626508645111e-09,7.21198141206969e-08,5.2854669085888866e-08,6.860668591457395e-08
6500,4.0078359163050244e-15,3.373118681057674e-08,2.6480316521537175e-08,1.1175404390244347e-08,8.612592061751911e-08,6.965706464967524e-08,8.258682100859002e-08
6750,4.180977921053276e-15,3.4520351773426827e-08,2.7570869143289656e-08,-8.919587227548424e-09,8.612592061751911e-08,6.558232783504532e-08,7.972148702961584e-08
7000,4.952682110725883e-15,4.365845104278031e-08,3.591251368242237e-08,2.2851629583307103e-10,1.1341531092057267e-07,7.58465080963333e-08,9.939354718824221e-08
7250,6.274231828529153e-11,1.0097987914326703e-05,7.3685146755848795e-06,2.5388786655256013e-06,2.9770660816552663e-05,2.1661408568185416e-05,2.7189248029451083e-05
7500,5.446086849314512e-15,4.2410347050811556e-08,3.2115335237730984e-08,-4.859473839197952e-09,1.3406542187510695e-07,7.050334431824012e-08,1.1427149201992374e-07
7750,1.0234501742997e-14,5.765254081246809e-08,4.261253838677703e-08,-4.2941415502793595e-09,1.3979425794730105e-07,1.1905161763081647e-07,1.386723807428325e-07
8000,8.718436434222102e-15,7.359325567231876e-08,6.127752286541213e-08,2.284270085253649e-09,2.0084481633375617e-07,1.1913445394640119e-07,1.711183812957981e-07
8250,4.904536520834724e-13,3.8800351666884297e-07,3.0656827869941186e-07,-6.067318469860083e-08,1.1135937967310383e-06,7.872073701342682e-07,1.0056143990766476e-06
8500,1.293100922339363e-05,0.002167971359728681,0.0015751859143566804,0.00011361314849005277,0.006144072027375103,0.0048919392763984585,0.005721404976233209
8750,2.9907008808468735e-14,6.962681543656594e-08,5.5492625563485514e-08,2.273901866800543e-08,1.712512744944661e-07,1.4079649703901962e-07,1.6376097116577163e-07
9000,3.2587901967846486e-14,7.825757720848677e-08,6.086738114588354e-08,2.058047734348769e-08,2.2205556327037357e-07,1.6119427526106717e-07,2.0762806300922408e-07
9250,3.427890024783331e-13,2.7731485412407764e-07,2.1724357326814384e-07,-1.292325679696795e-07,7.620946469444334e-07,5.696851742342796e-07,7.368222062531513e-07
9500,1.404624683232214e-08,4.079173378290249e-05,3.320847624959946e-05,9.56153861720295e-06,9.349828796700876e-05,8.033821656265866e-05,9.206409244685076e-05
9750,1.2498150030095662e-13,2.2213987146050803e-07,1.6954125976147744e-07,-9.027603672014568e-08,6.033028938645657e-07,5.115995066695684e-07,5.758941632727497e-07
10000,1.6672969422870665e-06,0.0008875060378967755,0.0005848164310208657,-0.0003768595491746785,0.002800861668479371,0.0019033551816590932,0.0027732175969620698
