step,train_mse_norm,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3380650579929352,0.24559458310705523,0.19778233670374945,-0.0367411461601872,0.5667461115994925,0.4530900872708703,0.5326844944278134
250,2.9191333053048274e-13,2.8823342836860166e-07,2.1473850765288274e-07,-3.960081659418588e-09,7.177243830369662e-07,6.238426774274327e-07,6.831538924600974e-07
500,1.0089533536382085e-15,2.2994460765947845e-08,1.7463589685462466e-08,2.3099669055866235e-09,6.907332128491817e-08,4.481392563704387e-08,6.190485651202942e-08
750,8.488631736950801e-16,2.5415289210723516e-08,1.826629057534644e-08,2.0016038773530366e-09,7.915069843988931e-08,5.060596999229005e-08,7.476704245945594e-08
1000,1.8399685902225748e-15,2.6506676515767404e-08,1.9898164047677235e-08,-2.5210540956420248e-09,7.21198141206969e-08,5.060596999229005e-08,7.087075205802761e-08
1250,2.046152926726743e-15,2.395723186685143e-08,1.929941823284426e-08,-5.193533772352934e-09,5.0670902140836915e-08,4.4867022364059023e-08,5.0138458522752666e-08
1500,2.002536870932014e-15,1.8607928693805617e-08,1.4369155770006209e-08,-2.623841799916027e-09,4.342491166653417e-08,3.6792742630353814e-08,4.088020288506298e-08
1750,2.6133249176588016e-15,2.850688930715431e-08,2.35872134945496e-08,-7.454862758850465e-09,6.907332128491817e-08,5.5173433377575474e-08,6.475196389743584e-08
2000,1.7448065561809223e-15,2.3766967076373205e-08,1.8681053910134844e-08,-1.9043279545864302e-09,6.907332128491817e-08,4.0413954049967055e-08,6.152832943584478e-08
2250,3.72767807493477e-15,3.811199367206237e-08,2.9395451490932786e-08,-1.56778771975312e-08,1.0504201242156341e-07,6.904259794993095e-08,9.63774448159426e-08
2500,1.2311211321502924e-05,0.001982954220519818,0.0015441163002470522,0.00020454221486691858,0.005504243444764967,0.0036582148266439234,0.004892845203120112
2750,1.4168199406527698e-15,2.2997405168620524e-08,1.625696390204569e-08,4.905355825239137e-09,6.907332128491817e-08,4.4600434545571944e-08,6.037067127095944e-08
3000,1.5038865631801577e-15,2.7163871962840148e-08,2.033700962131423e-08,-1.981418627056406e-09,6.907332128491817e-08,5.2854669085888866e-08,6.475068499156574e-08
3250,1.8182845467728647e-15,3.0041537339502134e-08,2.1672376274547593e-08,-3.728809472831818e-09,9.353260743694136e-08,6.35133577731039e-08,8.350430011461176e-08
3500,1.23508701011611e-15,2.7648553827895364e-08,2.2017725378359067e-08,1.3077870638274665e-09,6.907332128491817e-08,5.108070579851186e-08,6.475068499156574e-08
3750,2.2071929482410987e-15,3.3431040243328984e-08,2.6591371855778065e-08,-4.242747825024989e-09,7.136142876618123e-08,6.893923911732713e-08,7.109882700362391e-08
4000,1.5891357706400932e-15,2.8942182122201163e-08,2.263812033070118e-08,-3.626021683969395e-09,7.136142876618123e-08,5.108070579851186e-08,7.042330469886337e-08
4250,2.9830274823227547e-15,3.617325975990286e-08,2.992094787807835e-08,-1.15911737351228e-09,7.398789314549958e-08,6.8958915910855e-08,7.264844098742172e-08
4500,2.5898233532625206e-15,3.176109099893049e-08,2.4860712980309278e-08,4.905355740650716e-09,6.907332128491817e-08,6.622936199462969e-08,6.907332128491817e-08
4750,3.7748874562499885e-15,3.579944611794307e-08,2.7871491781183977e-08,-3.728809261360766e-09,8.520756367147442e-08,7.513267066272531e-08,8.291516131464503e-08
5000,6.829818083157503e-15,4.440767039534489e-08,3.1955424211511333e-08,-1.261905035492072e-09,1.4527240921324847e-07,8.535567141976224e-08,1.3573580623926765e-07
5250,6.732508397078087e-15,5.517987678847598e-08,4.350615943695045e-08,-7.4796659871048e-10,1.412317391924489e-07,1.201922419369337e-07,1.410663233514242e-07
5500,1.7343729737432333e-14,5.442851356797691e-08,4.329368516596874e-08,-9.382131812193014e-09,1.4416451499243976e-07,1.0962165779559985e-07,1.416729361558566e-07
5750,2.696868553128673e-12,9.013154763221659e-07,7.046190259834313e-07,1.2167216170038977e-07,2.688337435330368e-06,1.7277546493943416e-06,2.3359252057630867e-06
6000,4.223271970175578e-15,3.6946185072209984e-08,3.0356650145993824e-08,1.4105747258072587e-09,7.915069843988931e-08,6.875882503365458e-08,7.744943827603378e-08
6250,3.485271221474219e-15,3.416345989050691e-08,2.3441968789397618e-08,-3.6260215570867635e-09,1.3085001704382648e-07,5.486346283944952e-08,1.089740379001112e-07
6500,4.697595174044935e-15,3.55130247016985e-08,2.9249364750344718e-08,-4.037172205005932e-09,7.636994858728485e-08,6.852686320613084e-08,7.363026274020965e-08
6750,3.5417736130120012e-15,3.787870715054351e-08,2.9710920284877656e-08,-2.5981448527004215e-09,1.1415299816519564e-07,6.881075726994365e-08,9.592226199117687e-08
7000,1.1197521452817674e-14,5.852682578678906e-08,4.566767776635418e-08,2.0940234223858277e-08,1.3814664256983633e-07,1.2015350261407316e-07,1.3268926208453985e-07
7250,1.9182536621967748e-14,7.045871127881079e-08,5.339178834501148e-08,2.8496022895838213e-09,2.0721996563111134e-07,1.3787647592522487e-07,1.7983802724330618e-07
7500,2.9122644296109e-09,3.804617862004333e-05,3.069243209841672e-05,-5.867534746581019e-06,9.11471625997251e-05,7.647488032578307e-05,8.72382281435335e-05
7750,3.9956102662608295e-15,3.6282084392084465e-08,2.8277129547946276e-08,5.110931276081352e-09,1.0422444951529997e-07,6.899094060486277e-08,9.642752631933142e-08
8000,8.6112969307898e-15,4.345450859202755e-08,3.47779265280359e-08,5.05953733935593e-09,1.1090661011792236e-07,7.54306066497179e-08,1.0624169243911292e-07
8250,1.9081922660361093e-14,1.140563768936964e-07,9.3063827543731e-08,-3.7957107002468894e-08,2.5924068758342855e-07,2.0508771259031272e-07,2.5892505346902793e-07
