step,total_loss,data_loss,curv_loss_raw,curv_loss_weighted,lambda_curv_eff,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3929702341556549,0.3929702341556549,9.363070487976074,2.340767579767089e-10,2.5e-11,0.25181526912090274,0.2088513638158971,-0.03735146641601938,0.5973601848668011,0.4397908481711396,0.5354874426279222
250,7.269495199579978e-06,6.934925522728008e-09,1162.0096435546875,7.26256030247896e-06,6.25e-09,4.661182655382464e-05,3.421966613926215e-05,-7.287922172627944e-08,0.00011982469079363511,0.00010056869155556917,0.00011624329001985952
500,1.431051623512758e-05,1.8168628823644895e-09,1144.6959228515625,1.4308699064713437e-05,1.25e-08,2.4751137998124386e-05,1.8289870487591437e-05,9.810808584579231e-08,7.179981221128173e-05,4.922433648957278e-05,6.956994233059176e-05
750,2.0802895960514434e-05,4.513637019698535e-09,1109.2470703125,2.0798383047804236e-05,1.875e-08,3.898608737823008e-05,2.8715445108512804e-05,1.9125942188732585e-07,0.00010980822455586292,8.166462204268752e-05,0.00010838834645756632
1000,2.6506610083743e-05,8.959857744628152e-09,1059.906005859375,2.649764974194113e-05,2.5e-08,5.4935610651548826e-05,3.9761728838603817e-05,2.3083267906644422e-07,0.00016106494636503044,0.00012357325542966535,0.00015024457771652057
1250,3.1533079891232774e-05,1.4501972067648694e-08,1008.594482421875,3.1518578907707706e-05,3.125e-08,6.981184880559717e-05,4.941195755576933e-05,1.8370452731495506e-07,0.00020486174942746516,0.00015808194778559322,0.0001919173849015009
1500,0.0001403015776304528,0.00010416920849820599,963.5299072265625,3.613237277022563e-05,3.75e-08,0.008525330855217124,0.007147558342646788,0.006937095037522574,0.0145401470800266,0.014148031938368708,0.014413531187023414
1750,4.063747473992407e-05,2.3869326071235264e-08,928.3109741210938,4.0613605960970744e-05,4.375e-08,8.955951791450348e-05,6.227790722759674e-05,-4.340485422934156e-08,0.00024422059156670173,0.00020744861633117384,0.00024130683896892433
2000,4.502455340116285e-05,3.1538156974875164e-08,899.8602905273438,4.499301576288417e-05,5e-08,9.801924402208156e-05,6.824813229505942e-05,1.2534158355924165e-05,0.00026933658250172243,0.00023885999474240172,0.00026016397342107914
2250,4.376153810881078e-05,2.5956682137007192e-08,874.7116088867188,4.373558113002218e-05,5e-08,9.333253643891287e-05,6.494021568725388e-05,-2.5802463700044667e-08,0.0002449882365915812,0.00021693238340567678,0.00024185034595964437
2500,4.307428753236309e-05,1.88544490242748e-07,857.71484375,4.2885742004727945e-05,5e-08,0.000279728212159789,0.00023740333330860404,0.00022736699037439494,0.0004826425389872213,0.0004629604062746928,0.0004809685643565764
2750,4.208035170449875e-05,2.3026187179198132e-08,841.1465454101562,4.205732693662867e-05,5e-08,8.791512634345596e-05,6.14333199101377e-05,-6.040088670915333e-07,0.0002244389233752031,0.00020346786895633065,0.0002201434502129906
3000,4.2982785089407116e-05,1.4863321666780394e-06,829.9290161132812,4.1496452467981726e-05,5e-08,0.0010644430866414776,0.0008427674275829302,0.000406752514064682,0.00256496872926526,0.0020416994617772134,0.0024597457911663756
3250,4.093734241905622e-05,2.123232789585927e-08,818.3222045898438,4.0916111174738035e-05,5e-08,8.441031524392847e-05,5.9028845481177784e-05,4.7330971396166074e-08,0.00021038250240223988,0.00019783457735833557,0.00020561366294888467
3500,9.213070734404027e-05,5.16213767696172e-05,810.1867065429688,4.050933421240188e-05,5e-08,0.00468886266328347,0.004201722868796519,0.003447777840227698,0.007630493907941016,0.007174443310361765,0.007483352990602013
3750,4.0120761696016416e-05,2.005017485373628e-08,802.0142822265625,4.0100712794810534e-05,5e-08,8.206277173716568e-05,5.774476999853562e-05,2.401606611357465e-07,0.0002001596507863468,0.00019023370586364048,0.0001972599354186144
4000,4.061299478053115e-05,8.601325589552289e-07,795.0572509765625,3.975286381319165e-05,5e-08,0.0007014421092439791,0.0005297304246092321,-7.001401165064789e-05,0.0019334313486520927,0.0016181612145634182,0.0018875242763629703
4250,3.957073204219341e-05,3.852990104746823e-08,790.64404296875,3.9532202208647504e-05,5e-08,9.585533545521051e-05,7.914830147996776e-05,3.12312889513119e-05,0.00023558992637262577,0.00018065615689097917,0.00022385097782930065
4500,4.511550287134014e-05,5.73415263716015e-06,787.6270141601562,3.938134977943264e-05,5e-08,0.0009558587390412741,0.0008102313182854561,-0.00028330908856512494,0.0018785830499741252,0.0017639331009389628,0.0018464380005395317
4750,3.900404408341274e-05,4.5275488247398243e-08,779.1754150390625,3.895876943715848e-05,5e-08,0.00023618613575196996,0.0001977483908113359,-6.0325373310021746e-05,0.0005333145026398256,0.00040995591804167115,0.0005046218823043166
5000,3.9281869248952717e-05,6.632747613366519e-07,772.371826171875,3.8618592952843755e-05,5e-08,0.0005974545842604283,0.0005158799125987421,0.0003597587828467752,0.0012529788057928926,0.0010411594503351828,0.0011902061142365378
5250,3.841530269710347e-05,2.516629216131605e-08,767.8026733398438,3.839013515971601e-05,5e-08,9.35789496684781e-05,7.18439012650018e-05,-3.224863464310718e-06,0.00023359867747707597,0.00019537840232270996,0.0002257145318520059
5500,3.821763675659895e-05,6.100936644770627e-08,763.132568359375,3.815662785200402e-05,5e-08,0.00014863606342396945,0.00012783469230341163,-2.1360028109733486e-05,0.0003366830711932778,0.0002695461840025002,0.00031194858809215
5750,4.3853800889337435e-05,5.9610051721392665e-06,757.8558959960938,3.7892794352956116e-05,5e-08,0.0005565695628934726,0.0004578836914682479,-0.00025002219741640123,0.0011994136178703485,0.0011170608496565032,0.0011867297434148582
6000,3.902445314452052e-05,1.3796378652841668e-06,752.8963012695312,3.764481516554952e-05,5e-08,0.0004926770333088087,0.0004084410923259407,-0.00014274284877996158,0.0011488860205020046,0.00087151310680591,0.0010729771668458981
6250,3.891986852977425e-05,1.4950542208680417e-06,748.496337890625,3.742481567314826e-05,5e-08,0.0005520259562515107,0.00042647879470068616,4.153670477296296e-05,0.0016179974850576428,0.001216912440573292,0.0014932650294979932
6500,3.901243326254189e-05,1.7799104625737527e-06,744.6504516601562,3.723252302734181e-05,5e-08,0.0007978122361805674,0.0005475714033389423,-0.0001902753930224575,0.00280572119648248,0.0018217501661609045,0.002606192483170167
6750,3.760303297895007e-05,5.37152232027438e-07,741.317626953125,3.706588177010417e-05,5e-08,0.00041124929188167365,0.00033615128283753527,-9.928645282125934e-05,0.0012121320977751537,0.0007566901936783662,0.001037921659034245
7000,3.7495970900636166e-05,6.345592282741563e-07,737.228271484375,3.686141280923039e-05,5e-08,0.00046662767677458603,0.0003781619196016738,-0.0003426415815131769,0.0009778742441977073,0.0007653193931949964,0.0009617546735977277
7250,6.811096682213247e-05,3.140744229312986e-05,734.070556640625,3.6703528166981414e-05,5e-08,0.0027471932033972784,0.0020797255516506277,-0.0011481902833007783,0.006193879557613968,0.005522115577924856,0.005974748588090202
7500,3.8462669181171805e-05,1.8173353737438447e-06,732.9066772460938,3.6645335057983175e-05,5e-08,0.000927575571589963,0.0007395113974139109,2.9904145806175243e-05,0.00226740085923538,0.00196725008323435,0.00216435831397268
7750,4.187075683148578e-05,5.439114374894416e-06,728.6328735351562,3.6431643820833415e-05,5e-08,0.0012896466115296448,0.0009227455471308723,0.00048766124625387874,0.0032972436216631706,0.0030348365496507754,0.0032363720790507416
8000,3.6831832403549924e-05,5.029799581279804e-07,726.5770263671875,3.632885272963904e-05,5e-08,0.00042630028302723404,0.0003623387693933365,0.0003263723418288781,0.0009109104482352137,0.0007007049463596536,0.0008657416138851022
8250,5.1897030061809346e-05,1.5653164155082777e-05,724.8773193359375,3.624386590672657e-05,5e-08,0.0020961605622380397,0.0017183214715043925,0.00014045126900796845,0.005038131717316929,0.003674256985455404,0.0048355125273271665
8500,3.8480444345623255e-05,2.2929916667635553e-06,723.7490234375,3.6187451769365e-05,5e-08,0.0009745048739169676,0.0007733125550507378,0.0003108036314001356,0.0021489613384382267,0.001932151343142862,0.0020732559274136437
8750,5.094552761875093e-05,1.4913312952558044e-05,720.644287109375,3.603221557568759e-05,5e-08,0.0017773316712275953,0.001388394730975195,0.0009427974150136906,0.0049340455772419745,0.003641082669436012,0.0045413717195908416
9000,6.0040707467123866e-05,2.3708189473836683e-05,726.6503295898438,3.633251617429778e-05,5e-08,0.002576993407546164,0.0021001697302130496,0.0008901992625718759,0.005520463346966764,0.004527190853310436,0.0053087934904633175
9250,3.6016208468936384e-05,7.542147528738496e-08,718.815673828125,3.594078589230776e-05,5e-08,0.0001303160532551981,0.00010517200752187723,3.641129983994198e-05,0.00034091137941771876,0.0002451774451363241,0.0003038895135085792
9500,4.328124123276211e-05,7.3938599598477595e-06,717.7476196289062,3.588738036341965e-05,5e-08,0.0018947229457514196,0.0014957593841939108,-0.0003683155030573815,0.004033018572734193,0.0035213642892615296,0.003902064175994261
9750,3.7573801819235086e-05,1.6876593917913851e-06,717.7228393554688,3.588614345062524e-05,5e-08,0.0005834519029992749,0.0004482768169200991,0.0002624106000847636,0.0013972819372476408,0.0012529226773093417,0.0013886067627579734
10000,5.889827662031166e-05,2.311465868842788e-05,715.67236328125,3.578361793188378e-05,5e-08,0.003214816876517919,0.0027194330515934425,0.0008643748598623226,0.0062686027466618555,0.005256944270212925,0.005955944442620742
