step,train_mse_norm,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.31592899560928345,0.30481736784646624,0.2592648473517181,-0.05913530596262116,0.6144759657899428,0.4888988527597554,0.5955440943361079
250,1.1865593478432857e-05,0.0019718772321199347,0.00031368094023797086,0.000304891669434064,0.012778978960691134,2.423266585287464e-05,0.007552103885758512
500,6.491365667216087e-09,4.578111411560084e-05,9.583565458929197e-06,9.206612754196288e-06,0.0002957719636640377,8.622133448099588e-06,0.00017836565647598841
750,4.445109644951595e-14,1.2053857102968408e-07,4.121900509801435e-08,1.9038661948554492e-08,7.598065394631703e-07,5.8398101288048556e-08,4.7413859304512326e-07
1000,1.5995519253748924e-14,7.362620322244547e-08,4.4429399249592974e-08,2.366410771041198e-08,3.4536660820094767e-07,1.2523242221007528e-07,2.6995376559923945e-07
1250,5.752895594923757e-05,0.004479693195711491,0.003495646952447661,-1.3228700229292589e-05,0.013052948148784438,0.00850866416491547,0.01120498112133058
1500,2.857301323170615e-15,2.7882106716463032e-08,2.0521403793203436e-08,1.2563931271020444e-09,7.072093666238288e-08,6.818219935311724e-08,7.004541435762235e-08
1750,3.2533137899674706e-15,3.511675258433761e-08,2.6864240821296227e-08,8.040380255771478e-09,7.915069843988931e-08,6.907332128491817e-08,7.527090515324627e-08
2000,2.8381367792225127e-15,2.8350063658379386e-08,2.1440476991702305e-08,-4.756686219512371e-09,6.907332128491817e-08,5.120572961203606e-08,6.60817040909478e-08
2250,4.5733557694734635e-15,3.374200588226076e-08,2.516074151142924e-08,-2.855113944208586e-09,7.398789314549958e-08,7.124998093743783e-08,7.322198074533048e-08
2500,4.797878792802161e-15,3.9807338051557806e-08,3.046740988599779e-08,-1.9814190077043003e-09,1.0052488619294309e-07,8.592225730907891e-08,9.530720005201938e-08
2750,1.4979962325374803e-14,6.835996974110607e-08,5.0996413398996496e-08,-2.5005859351421933e-08,1.7206883740072954e-07,1.3078445189051981e-07,1.7107170741326172e-07
3000,2.613104502745267e-13,3.895393716040454e-07,2.9589287375841877e-07,-1.0908618249974974e-07,9.443548076859543e-07,7.434801364780696e-07,9.3218297255504e-07
3250,4.962512351595243e-15,3.725976767354017e-08,2.9596373225209456e-08,-1.8272371552338233e-09,8.390892070053724e-08,6.900171980461777e-08,7.785057681175539e-08
3500,9.175164222678146e-15,4.939052799662712e-08,3.410512934499095e-08,5.93323269880232e-09,1.5519924367879412e-07,9.70264401267684e-08,1.3817937063009807e-07
3750,1.601418785990641e-14,7.66392589627381e-08,4.8994819418488706e-08,1.9706781941747088e-08,3.4845170482356025e-07,1.1931486305627455e-07,2.683092250599365e-07
4000,1.433919931577432e-12,8.61862760684002e-07,5.91366789738315e-07,-2.078137502504687e-07,2.3767396744034386e-06,1.8061033880023558e-06,2.172805098918927e-06
4250,3.0436844857635245e-14,1.2107639176599183e-07,8.680412223936531e-08,3.93392291017779e-08,3.776151622503221e-07,2.778390671309693e-07,3.4215578912366566e-07
4500,9.158202529668813e-10,1.4541156740452074e-05,1.1501509085449463e-05,2.0457042667250866e-07,3.09425600288904e-05,2.6536065589155555e-05,3.0172773886203423e-05
4750,5.308859726937953e-06,0.0013572065213415118,0.0008136480135477477,-8.338278303664568e-05,0.006858966175524728,0.002128628068953374,0.004982773547094884
5000,6.078083742977469e-07,0.0005695918171814596,0.00040811981924372887,0.000338009706119466,0.0012133828813851721,0.0011588589533568336,0.0011929325957425083
5250,9.022573947735715e-14,1.9726879039561023e-07,1.514697476863381e-07,-1.2876912953919102e-08,4.898884000681392e-07,3.8865131299914415e-07,4.811919938241259e-07
5500,3.088712063892274e-10,8.717309902558346e-06,6.411982959612994e-06,-1.0827424921935231e-06,2.7741359325261783e-05,1.8904521985874105e-05,2.422528105837426e-05
5750,4.071003090189151e-09,4.8086445928730024e-05,4.0744692891022304e-05,2.0133662774186284e-05,0.00010565939181006456,7.56066748911266e-05,9.538309603749785e-05
6000,1.1507327729587402e-10,7.1437439681328505e-06,5.8207892298748716e-06,2.0298226745990313e-06,1.837655007363992e-05,1.2953831328577078e-05,1.6190669882067947e-05
6250,2.3063434184678044e-07,0.00026397957301431,0.00021528936004659252,-0.0001339496967176501,0.0006231389541504484,0.000517342053639158,0.0005851783542349405
6500,5.4546728023296964e-08,0.00017612168821952564,0.0001538117458669962,6.115648329119678e-05,0.00038836583773260713,0.0002862726228756606,0.0003480795068477423
6750,2.104244458678295e-07,0.00027551533422783464,0.00023974293430530818,-7.552702892927548e-05,0.0005650775047367773,0.00047974807830986033,0.0005565248829024227
7000,1.0853663212628817e-07,0.00017769465905465403,0.00014533666274526728,3.149478517196412e-05,0.0004037366120268615,0.0003116908197210221,0.0003687873423363716
7250,1.6201995549636194e-06,0.0008227788518730066,0.000645499075494652,0.0002552039501837572,0.002400733596157778,0.0013998315972233218,0.0020466917793748574
7500,6.834954380252611e-09,4.104305396164238e-05,2.881560987735182e-05,-1.1509833231055075e-05,0.000131046763975462,8.763537505993562e-05,0.00011928545517008605
7750,3.803135584234951e-09,3.428339266293024e-05,2.6845698069750362e-05,-9.209650502577171e-06,8.75651079432771e-05,6.638290600582406e-05,8.538189985801024e-05
8000,4.720013464520889e-07,0.0003927732783277184,0.00028309212583429603,-0.00010033730267939538,0.0013423077892156243,0.0008236760386726152,0.0011681217537379124
8250,6.522374462747393e-08,0.00017309359244145427,0.00012155115844916136,5.361582571398553e-06,0.00042770505466727116,0.00037611296049098173,0.00041818517053403775
8500,1.274396055350735e-08,7.16385284279846e-05,5.509271618172765e-05,1.4275638643984359e-05,0.0002201895700277845,0.00014746426785787738,0.00019455720357719009
8750,3.157968819778034e-08,0.00010448571005503723,8.420843586897151e-05,-2.749239166692045e-06,0.00023143549626070126,0.00020765565211338093,0.0002276131961379235
9000,1.0972278374765665e-07,0.00020753493165793545,0.00014887983517982865,3.657691649100194e-05,0.0007875701376320876,0.0003287613823065527,0.0006740815463296802
9250,1.2933078608057258e-07,0.00018875491341568065,0.00015255600874327277,3.3939795743578196e-05,0.0004933387164225422,0.00029076330866208974,0.0004550820287799159
9500,2.0357326491193817e-08,8.148809855783522e-05,5.1042364303157563e-05,3.1384392096373268e-06,0.000319466708704752,0.00010797156121089552,0.00030901980453013056
9750,3.1131165201259137e-07,0.0003316123493518865,0.0002299644914063526,2.768305819803426e-05,0.001156008066045544,0.0005901378001587074,0.0011089628394420888
10000,8.21777541848423e-13,5.741751545130575e-07,4.3753163551466895e-07,6.405966639683974e-08,1.5374355175623577e-06,1.1614283208061232e-06,1.4168480693577112e-06
