step,total_loss,data_loss,grad_loss,lambda_grad_eff,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3929702341556549,0.3929702341556549,0.20298230648040771,5e-11,0.2518152678256871,0.20885136438122937,-0.03735146687856392,0.5973601632813885,0.43979084730772305,0.5354874298925288
250,1.2377485347769834e-07,6.291387855128505e-09,9.398676872253418,1.25e-08,4.426774318312499e-05,2.8473436213514803e-05,-1.2285973161581189e-07,0.00011070917086541954,0.00010732104046464731,0.00011000181387478491
500,2.8413714403541235e-07,2.9691944432655437e-13,11.365474700927734,2.5e-08,3.2662294025135e-07,2.475730724765548e-07,-9.536313241721386e-09,1.0360998263791998e-06,6.102974355215451e-07,8.800875544423533e-07
750,3.9211224134305667e-07,7.387125308157272e-13,10.456306457519531,3.75e-08,5.231346208381819e-07,4.2653377625646e-07,5.5733864253885e-08,1.159410871309774e-06,1.039814380465742e-06,1.1136692923585652e-06
1000,5.177582238502509e-07,1.4390821433812873e-12,10.355135917663574,5e-08,6.569951484254379e-07,5.217444471805081e-07,4.031660761852219e-09,1.6429241238569148e-06,1.2542780983615382e-06,1.592366595435379e-06
1250,6.800286769248487e-07,2.611699485149943e-12,10.880416870117188,6.25e-08,9.442531990589005e-07,7.730908582933201e-07,-4.582036472995588e-08,2.114281807408247e-06,1.779165592363796e-06,2.012067938093053e-06
1500,6.380319518939359e-06,5.689646513928892e-06,9.208971977233887,7.5e-08,0.0019264554775233174,0.001641501408257912,-0.0015978250497899655,0.0031737980012724876,0.003038557823396104,0.003120814364242896
1750,8.238946520577883e-07,4.330855986334203e-12,9.415889739990234,8.75e-08,1.2314939489598406e-06,9.441874250491028e-07,1.6240178040456093e-07,3.06403998173721e-06,2.6476363648164627e-06,2.926426034353112e-06
2000,1.1324810884616454e-06,2.2224795337422165e-09,11.30258560180664,1e-07,2.4546450343896396e-05,2.146042284902788e-05,-2.1193357884852743e-05,3.825608034446759e-05,3.5769832875320865e-05,3.779192768449846e-05
2250,1.0268241794619826e-06,6.651388641254474e-12,10.268174171447754,1e-07,1.485446295017501e-06,1.1589854411213418e-06,-1.9033984445724984e-07,3.749660436369595e-06,3.190396038554865e-06,3.6384764210595213e-06
2500,1.0842609299288597e-06,1.603751437206924e-10,10.841005325317383,1e-07,7.439587714671509e-06,6.525999473895792e-06,5.934752378507147e-06,1.2474605581402898e-05,1.1803032902779619e-05,1.2316473504050405e-05
2750,7.045667643978959e-06,6.091014711273601e-06,9.546530723571777,1e-07,0.0018696144331382617,0.0014305887492329426,0.0006610265211559184,0.0045451287945361685,0.003920432942073225,0.004301165369273272
3000,9.903914133246872e-07,5.612397213639042e-09,9.847789764404297,1e-07,2.603116507297947e-05,2.294429580877259e-05,-2.2568914027663667e-05,4.7114733856545854e-05,3.880572113530433e-05,4.386271307046382e-05
3250,0.00012978834274690598,0.00012887509365100414,9.13241958618164,1e-07,0.006368394766421672,0.005082567090945482,-0.004264509333297869,0.013558332635348336,0.011692601644422762,0.012925467222414534
3500,9.969446637114743e-07,2.510546259770763e-08,9.718391418457031,1e-07,0.00011364522588821944,0.00010279085351339035,7.57982801080848e-05,0.0001818010419540883,0.00017045509330309013,0.00017999843086920818
3750,1.0450705758557888e-06,1.0323000765311008e-07,9.418405532836914,1e-07,0.0002410988815175609,0.00021364067029708674,-0.00020639031718884735,0.0004636873030676725,0.00041681158821393877,0.00046164089571389507
4000,1.7349620975437574e-06,8.671049727126956e-07,8.678570747375488,1e-07,0.0003156759447115521,0.0002371352514632465,3.392119117333403e-05,0.0008828606617417023,0.0007668752923716935,0.0008417516614131056
4250,8.72707403232198e-07,1.9459158728807324e-09,8.70761489868164,1e-07,2.2786097685135742e-05,1.63093732212159e-05,6.172603072610425e-06,7.437147076494455e-05,4.5662509114041646e-05,6.996254221126814e-05
4500,1.1039079481633962e-06,1.0887082879662557e-07,9.950370788574219,1e-07,0.0002392022676920295,0.0001775974708593676,6.741715246551987e-05,0.0006111177933902923,0.0005575570395524027,0.0005944248960598129
4750,9.80220761448436e-07,5.436270100744878e-08,9.258580207824707,1e-07,0.000145011791221233,0.00010889932754098468,4.2807083421081416e-05,0.00032488698324151244,0.000304332822088682,0.00032142869213972245
5000,9.540902829030529e-05,9.465284529142082e-05,7.561805725097656,1e-07,0.006206314834752713,0.0052813020038063084,-0.0041235295015808705,0.012441984896597091,0.011130754477816307,0.011930106728808306
5250,1.0370168638473842e-05,9.551067705615424e-06,8.19100570678711,1e-07,0.001715605234674314,0.001356145237337223,0.0001376551614144649,0.003958986644482465,0.003635188238445419,0.003876748595935008
5500,9.013666613100213e-07,9.492143071554437e-09,8.918745040893555,1e-07,5.424088705388367e-05,3.8539486740131136e-05,-1.828904056001504e-05,0.00015865951429105962,0.00011231688754245178,0.00014839028683532254
5750,2.9102620828780346e-06,1.9841450011881534e-06,9.261170387268066,1e-07,0.0005748534115002797,0.0004680591848413534,-0.00011641406691930727,0.0013758828359851094,0.0012292342249724075,0.001333681294186437
6000,1.4154808241073624e-06,5.578049808718788e-07,8.57675838470459,1e-07,0.0005324082086462701,0.0003596593972973765,-0.00026475339381897066,0.0014086461723117338,0.0011643681777549373,0.0013281212497639131
