step,total_loss,data_loss,curv_loss_raw,curv_loss_weighted,lambda_curv_eff,gradcap_loss_raw,gradcap_loss_weighted,lambda_gradcap_eff,grad_cap_dex_per_km,gradcap_violation_frac,mean_grad_dex_per_km,p95_grad_dex_per_km,max_grad_dex_per_km,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
4500,1.0923879756319366e-07,1.599228426551677e-13,1092.3863525390625,1.0923863413836443e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006287687923759222,0.016693396493792534,0.024501385167241096,2.5776668603061284e-07,2.1134756446526482e-07,-4.1888735950800807e-08,6.143632678146105e-07,4.954302620596703e-07,5.882534737011722e-07
4750,1.0935873717698996e-07,3.253936009528502e-11,1093.261962890625,1.0932619431969215e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.0062909722328186035,0.016677623614668846,0.02432980015873909,3.1832556709906122e-06,1.8721848068873708e-06,9.75555125993735e-07,1.2050066230173684e-05,5.2261790377983134e-06,1.1648426436696721e-05
5000,1.0918581949681538e-07,2.8068132128418466e-13,1091.8553466796875,1.0918553527972108e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006289700511842966,0.016665568575263023,0.024328382685780525,2.597710627219984e-07,1.9677154733124153e-07,4.740806202634184e-08,5.774003994929444e-07,4.89874540487989e-07,5.642351137780109e-07
5250,1.7856993963505374e-06,1.6767735360190272e-06,1089.2591552734375,1.0892591717492905e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006220109760761261,0.016406625509262085,0.02449984848499298,0.0005551745520316307,0.00043377721479330775,-3.887982860534003e-05,0.0017435547151674058,0.000951327118872225,0.001469085937366541
5500,1.0866428823419483e-07,4.140954940057284e-12,1086.6014404296875,1.0866014577004535e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006216264795511961,0.016416464000940323,0.02450840175151825,1.542609996769643e-06,1.1788209588576002e-06,1.0915767211186346e-06,4.040848471831282e-06,3.2785381985256347e-06,3.7887607765085794e-06
5750,9.930966371030081e-06,9.822561878536362e-06,1084.0482177734375,1.0840482644880467e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.0062008146196603775,0.01641390286386013,0.024599432945251465,0.0034745284766746175,0.0029983036205192904,-0.0009629310346617393,0.007172294389063083,0.006337302152430091,0.006867886745110902
6000,5.870042969036149e-06,5.760169187851716e-06,1098.738525390625,1.098738522387066e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.0061827655881643295,0.016416743397712708,0.024645870551466942,0.0018341908086244132,0.0014717954502388203,-5.146029556744142e-05,0.004958993684400781,0.0035074102990296984,0.004740287818277265
6250,5.56069267076964e-07,4.461851972337172e-07,1098.8404541015625,1.0988404852696476e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006177681963890791,0.016404258087277412,0.024645278230309486,0.0005297474058669258,0.000458434044751702,0.00021240799077338308,0.0009601942632926352,0.0009325922448665476,0.0009555485548739461
6500,2.1851127485206234e-07,1.0960816609895119e-07,1089.031005859375,1.089031016476838e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006135555449873209,0.016345828771591187,0.02485070563852787,0.0002352664517071363,0.00017837575018928153,-5.2074554749965376e-05,0.0005725481493854545,0.0005001445397208035,0.0005547634024365598
6750,1.3267018630358507e-06,1.216477585330722e-06,1102.2432861328125,1.1022432744312027e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006132365670055151,0.01633058860898018,0.024922918528318405,0.0007703578145595856,0.000524649154379003,-0.0002536879401861351,0.0027433850601532583,0.001682220853084892,0.0023174958483322032
7000,1.3794395670174708e-07,2.945114907504376e-08,1084.9281005859375,1.0849281295577384e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006079567596316338,0.016412952914834023,0.025545261800289154,0.00015144499671184458,0.00013448126420152157,-4.45839538800201e-05,0.0002882576442413409,0.00024144967082007085,0.0002770934998124196
7250,1.0937012007161684e-07,1.0023004648473943e-09,1083.67822265625,1.0836782138312628e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006063191685825586,0.01630283147096634,0.025493884459137917,2.5905798529739243e-05,2.0108389016496426e-05,3.408668023439193e-06,8.055003303830688e-05,5.28926435808152e-05,7.249982248087143e-05
7500,1.5399093911128148e-07,4.480285298313902e-08,1091.880859375,1.0918808612814246e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006049736402928829,0.016301561146974564,0.02539025992155075,0.00011126352399672137,8.89848830348446e-05,-7.23633259971802e-06,0.0003355303887566663,0.0002066130212801553,0.0002861717779727253
7750,1.0200336646448704e-06,9.107466780733375e-07,1092.86962890625,1.0928696525525083e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.006028533447533846,0.01630467362701893,0.025419993326067924,0.0006171378013122307,0.00045484697129717844,-0.00034293976857619716,0.0016182837037739262,0.001327918695492602,0.001514575270544504
8000,9.706643595563946e-07,8.616180480203184e-07,1090.463623046875,1.0904636127406775e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.00600602850317955,0.01632170006632805,0.02559318207204342,0.0005773656372011654,0.00038743125281246566,0.0003653539531794132,0.0013994330453268589,0.0012613387168003416,0.0013720019953477266
8250,2.3032052922644652e-06,2.1928985916019883e-06,1103.068115234375,1.1030681434931466e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.005987818818539381,0.016322042793035507,0.025536779314279556,0.0007550264066382892,0.000615712292545941,-0.00042931467255826643,0.0016768584359212468,0.001502450016996803,0.001628666468116275
8500,7.305065082618967e-05,7.294219540199265e-05,1084.5655517578125,1.08456553959968e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.005929338280111551,0.016223516315221786,0.025646546855568886,0.004866267138989242,0.0042938447133806365,-0.0005916756781947575,0.009464893922981332,0.008126423154426462,0.009054344348567188
8750,1.6956540775936446e-06,1.587256406310189e-06,1083.97705078125,1.0839770681059235e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.005924737546592951,0.016215473413467407,0.025860561057925224,0.0007326001849949036,0.0006518979782091874,-5.684354339852149e-05,0.0013233727246060312,0.0011461538339099238,0.0012697822766861216
9000,1.723525747365784e-05,1.7126085367635824e-05,1091.71484375,1.091714878498351e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.005906525067985058,0.016183417290449142,0.025973757728934288,0.0024661818674292578,0.0020208586216474275,2.0396490875014484e-05,0.004849187433942248,0.0044880845800378205,0.004814028695523564
9250,4.2718539816632983e-07,3.173337859152525e-07,1098.51611328125,1.0985161225107731e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.005870501510798931,0.016137927770614624,0.025959761813282967,0.00034897828506153883,0.0002283994479129483,9.847280572252597e-05,0.001236308908202588,0.0008244480105895842,0.0011003705718048262
9500,1.0614968232403044e-05,1.0505621503398288e-05,1093.466796875,1.0934667926676411e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.005849175155162811,0.01609327830374241,0.026044568046927452,0.002008141768120884,0.0017276846606673164,0.0008168652115759842,0.003939064019577998,0.003518161449679535,0.00380225101942507
9750,1.159847826670557e-07,7.727234851984122e-09,1082.575439453125,1.0825754515053632e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.005815641954541206,0.016085945069789886,0.026087580248713493,4.3429087911532655e-05,3.361156545884858e-05,1.0926481932148677e-05,0.00011862500942783072,7.904088121453154e-05,0.00010768816468065258
10000,5.542621238419088e-06,5.434572813101113e-06,1080.4837646484375,1.0804837557998326e-07,1e-10,0.0,0.0,0.0001,0.03759580807774583,0.0,0.00580043438822031,0.01605670340359211,0.026076896116137505,0.0011186941272847708,0.0009525352642212749,0.0006657736931193389,0.002324809677846318,0.0019666568338704052,0.0022444207309259482
