step,total_loss,data_loss,curv_loss_raw,curv_loss_weighted,lambda_curv_eff,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3929702341556549,0.3929702341556549,9.363070487976074,2.340767553746237e-12,2.5000000000000005e-13,0.25181526821874395,0.20885136499795545,-0.03735146626183782,0.5973601632813885,0.43979084730772305,0.5354874298925288
250,7.912843358326427e-08,6.290937548669717e-09,1165.39990234375,7.283749425823771e-08,6.25e-11,4.424058527838942e-05,2.8417463440516278e-05,-1.5110064716899225e-07,0.00011060340234081423,0.00010737673082985556,0.00010992834792114436
500,1.4566536776783323e-07,1.772214238424455e-13,1165.3216552734375,1.4566519723757665e-07,1.25e-10,2.465415861316415e-07,1.8274118205953626e-07,-2.6752355674646077e-09,7.492666416197835e-07,4.748239001983733e-07,6.61101443313327e-07
750,2.1843649733455095e-07,4.126955938446586e-13,1164.992431640625,2.184360852197642e-07,1.8750000000000002e-10,3.673621335570342e-07,2.7806514876903607e-07,5.136628265591168e-09,1.0600965900664505e-06,8.10121633065818e-07,1.023261503867445e-06
1000,2.9107974341968657e-07,6.924782470531243e-13,1164.3162841796875,2.9107906129866024e-07,2.5e-10,4.89045801314339e-07,3.622594911029913e-07,1.819066383238318e-08,1.4105973420441842e-06,8.895559526322926e-07,1.3660122501413237e-06
1250,3.635030623172497e-07,1.175687477060483e-12,1163.2060546875,3.6350189702716307e-07,3.125e-10,6.067911267318809e-07,4.5127825298862945e-07,-1.305679124607466e-08,1.8803422854318796e-06,1.2260269977915063e-06,1.6859768551036307e-06
1500,1.1812014690804062e-06,7.456100092895213e-07,1161.5771484375,4.3559143136917555e-07,3.7500000000000005e-10,0.0007705627990592229,0.0006399053092536295,0.0006175421155541457,0.0013720446406200182,0.00131447322988123,0.0013519860780626123
1750,4.999424731977342e-07,2.4300687330447435e-12,1142.7200927734375,4.999400289307232e-07,4.3750000000000004e-10,9.036357403984643e-07,6.661407972954759e-07,9.803099513102812e-08,2.5934779763758797e-06,1.8763012753275618e-06,2.524112830553093e-06
2000,5.700857741430809e-07,3.1040870828585865e-12,1140.165283203125,5.700826477550436e-07,5e-10,1.0014444830913122e-06,7.37576889131035e-07,-2.8911791225655613e-08,2.9647470807248055e-06,2.017901584050462e-06,2.8422818192552755e-06
2250,5.685240012098802e-07,3.665922166523616e-12,1137.040771484375,5.685203632310731e-07,5e-10,1.1141357549903013e-06,8.031282470389285e-07,-3.8530237865872083e-07,3.67624865127425e-06,2.114282866205739e-06,3.464183181911549e-06
2500,5.608364972431445e-07,6.065456296944216e-12,1121.660888671875,5.608304149973264e-07,5e-10,1.105132448347834e-06,8.048732553672402e-07,2.4010926732590375e-07,2.887039594057228e-06,2.3356388646256216e-06,2.8141344404275508e-06
2750,5.591089689005457e-07,2.9773104121000316e-11,1118.158447265625,5.590791829490627e-07,5e-10,3.60276819352253e-06,2.762397081999625e-06,-9.697531335411164e-07,9.738723898422563e-06,7.563165508184248e-06,9.30277352795272e-06
3000,7.79614674684126e-06,7.24249230188434e-06,1107.309814453125,5.536548997042701e-07,5e-10,0.0011332729368594898,0.0008910246550502622,0.00030382524724211396,0.0026670942499151806,0.0025204363621495122,0.002650640042013492
3250,5.515464067684661e-07,7.412339492196551e-11,1102.944580078125,5.514722829502716e-07,5e-10,5.768600514476642e-06,4.3219166186621765e-06,-4.105291347121311e-06,1.5159688388166614e-05,1.134115706520333e-05,1.4353096042452043e-05
3500,1.7476924767834134e-05,1.6929867342696525e-05,1094.115234375,5.470575956678658e-07,5e-10,0.002439059589611843,0.002072267591277464,0.0014078977701907597,0.005343791058301406,0.004667221762611625,0.005180949191728049
3750,5.443358190859726e-07,3.3138457256054465e-11,1088.6053466796875,5.443026793727768e-07,5e-10,3.960902438630141e-06,3.4661849850876823e-06,3.1834345170538082e-06,7.93613537197757e-06,6.757577472260579e-06,7.643909815318037e-06
4000,1.4136824120214442e-06,8.740202588342072e-07,1079.3243408203125,5.39662153187237e-07,5e-10,0.0006422212755233782,0.0005868384046475347,-0.0004535314759345475,0.0010486014827755241,0.0009243215830888828,0.0010162365166305595
4250,5.377036131903878e-07,4.3303419183793324e-10,1074.5411376953125,5.372705800255062e-07,5e-10,1.7781293748064906e-05,1.4078369462422997e-05,6.964993306715496e-06,3.744828027585356e-05,3.667807746081663e-05,3.729936699190972e-05
4500,0.00013444172509480268,0.00013391001266427338,1063.42041015625,5.317102136359608e-07,5e-10,0.008044976526618185,0.006721756701838129,0.006381884705302818,0.014826108043410002,0.013919593279256846,0.014591995550095296
4750,1.755652874635416e-06,1.224177140102256e-06,1062.9515380859375,5.3147573453316e-07,5e-10,0.0004373481068855035,0.0003872708535440374,-0.00038040420805605734,0.0007737086791586023,0.0007428198711514787,0.0007640910858368776
5000,2.3474835870729294e-06,1.8159272485718247e-06,1063.112548828125,5.315562816576858e-07,5e-10,0.0008853734179369506,0.0007133377965960449,0.0006147308981715396,0.001965072947877289,0.0018591576729091825,0.0019394692487572482
5250,5.793305035695084e-07,5.126316793280239e-08,1056.134765625,5.280673462948471e-07,5e-10,0.00015657404099660236,0.00013018673190391352,-8.521967598956472e-05,0.0003244027963731355,0.0002956210477648822,0.0003235170373397267
5500,1.2006885299342684e-06,6.739120976817503e-07,1053.5528564453125,5.267764322525181e-07,5e-10,0.0005375111015472746,0.0004436550111579507,0.00035402466926586537,0.0011362722767636058,0.0009595186406913923,0.001130687055883257
5750,7.246546829264844e-07,2.0083510321455833e-07,1047.63916015625,5.238195512902166e-07,5e-10,0.0002343570865299467,0.00021009429099571095,-0.0001375896397794901,0.0004363601701573572,0.00040537072760802304,0.00042807844294165057
6000,1.120668457588181e-06,5.961165356893616e-07,1049.1038818359375,5.245519218988193e-07,5e-10,0.0006909467113689467,0.0005861174349918333,-3.794281610388798e-05,0.0016860798426723278,0.0010862643452782094,0.0014555803672015324
6250,1.159590851784742e-06,6.352436230372405e-07,1048.6944580078125,5.243472287475015e-07,5e-10,0.00030619359490367083,0.00026683713799643033,5.247367380430068e-05,0.000568125024768662,0.0005216766953243023,0.0005529892249901989
6500,2.3387069632008206e-06,1.8180369352194248e-06,1041.340087890625,5.206700279813958e-07,5e-10,0.0009273539698041114,0.0006987638653763622,-4.6774462153033524e-05,0.0031778185479360843,0.001441660355065099,0.0029177785805436663
6750,1.3445903277897742e-05,1.2925616829306819e-05,1040.5736083984375,5.202867896514363e-07,5e-10,0.002207751298708787,0.0017866153341133792,-0.0007054815820397682,0.006957943054199944,0.004511070849039095,0.006111193363865361
7000,5.551245294554974e-07,3.754568211888909e-08,1035.15771484375,5.175788260203262e-07,5e-10,0.00012631079098293977,9.465019077485659e-05,-4.954913851489062e-05,0.0004107073753445434,0.00022103002778743884,0.000379021048954655
7250,6.073936447137385e-07,9.039065673732694e-08,1034.0059814453125,5.170030021872662e-07,5e-10,0.00010165393557602145,7.355735973953632e-05,2.882040388998842e-05,0.0002730680667895058,0.00021237316859217247,0.0002638215334194704
7500,1.7895277778734453e-05,1.737957245495636e-05,1031.412109375,5.15706062742538e-07,5e-10,0.0019608074851086587,0.001664610123299326,-0.00019671069846734687,0.004226488375744353,0.00358885050720179,0.003976014480172123
7750,5.861526915396098e-06,5.347023488866398e-06,1029.00732421875,5.145036539033754e-07,5e-10,0.0012155007093820425,0.0010283341051996516,-0.0007925159974808693,0.002962897540088605,0.0021078234465535138,0.0027575348940226956
8000,5.223379844210285e-07,1.0287532603570071e-08,1024.1009521484375,5.120504624755995e-07,5e-10,6.003969690287079e-05,4.629200913712561e-05,2.5269449263139638e-05,0.00014979272500958984,0.0001187458376683991,0.00014615781824380388
8250,3.4327763387409505e-06,2.9214145342848497e-06,1022.7234497070312,5.113616907692631e-07,5e-10,0.0008650351064231552,0.0005715317927387378,-0.00038833931425336354,0.002782445468277217,0.001997946401110794,0.0026849048119484023
8500,2.2243959392653778e-05,2.1734536858275533e-05,1018.8436889648438,5.094218522572191e-07,5e-10,0.00290753498244352,0.0025782702390717985,0.0022355172484504813,0.0057765733778119,0.0053223868391270015,0.005616342503200789
8750,1.0591058526188135e-05,1.008454000839265e-05,1013.03759765625,5.065188020125788e-07,5e-10,0.001156130304114134,0.0009826581820035617,-9.22432867271048e-05,0.002256444317090711,0.0019895450342333194,0.0021699424671498936
9000,1.5064638319017831e-06,9.988124247684027e-07,1015.3026733398438,5.076513502899616e-07,5e-10,0.0005863462345542185,0.00046216140296933314,-0.00010155433452134554,0.0013577296060969246,0.0010856481154064566,0.001267607955341407
9250,6.345494512061123e-07,1.2787950254278257e-07,1013.3399047851562,5.066699486633297e-07,5e-10,0.0002202269500761793,0.00018646075876721247,7.675328045368228e-05,0.00048499826940506807,0.0003615321698556606,0.0004498738718951497
9500,7.905323400336783e-07,2.8813698804697196e-07,1004.7908325195312,5.023953804084158e-07,5e-10,0.00033844558452320083,0.0002751764799591901,-6.053374874206324e-06,0.000896191871985863,0.0005822724857118542,0.0008800093996795687
9750,6.446932729886612e-07,1.4021364336258557e-07,1008.9592895507812,5.04479658047785e-07,5e-10,0.0002467247789904819,0.0001936833549976398,-0.00010163818357209582,0.0006475548457611779,0.0004955996161037919,0.0006289081144146811
10000,2.6825109671335667e-05,2.628697438922245e-05,1076.26953125,5.381347705224471e-07,5e-10,0.0031187406854953936,0.002439031376331444,-0.00032376834992313484,0.01074560374348188,0.004900406744900374,0.008949877357993704
