step,train_mse_norm,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.2918294072151184,0.291169532912142,0.2486902609670484,-0.03459899987660191,0.6168042957945712,0.49586027602126587,0.5873632184114171
250,1.6364196781491758e-13,2.464739901883202e-07,1.943831615880938e-07,1.2922794939960287e-08,6.227321520668738e-07,5.10669184627943e-07,6.041467503870022e-07
500,7.432515588809473e-16,1.0442111958968286e-08,8.031028413719404e-09,5.368794509492892e-10,2.413933941625146e-08,1.9671155282452445e-08,2.378955283433015e-08
750,5.037771334837906e-16,1.16135568022263e-08,8.91838750997446e-09,1.2563932116904653e-09,3.3922194830893204e-08,2.422952087854922e-08,3.0153941654731366e-08
1000,6.998834719815271e-16,1.415538732433861e-08,9.648288940276135e-09,8.452424368886655e-10,5.12508826489011e-08,2.448796747600566e-08,4.8529775895644866e-08
1250,1.269781479635646e-15,2.264926972991508e-08,1.6017718157137378e-08,9.480302680452995e-10,7.544847058227333e-08,4.4216554595521973e-08,6.28063527763344e-08
1500,7.577901912062977e-16,1.9949470265397266e-08,1.5445931644819666e-08,1.564756324512473e-09,5.12508826489011e-08,3.674108528528563e-08,4.658408593982695e-08
1750,1.0392284287554453e-15,2.172854863060683e-08,1.6559109427576112e-08,-3.882990902360191e-09,6.907332128491817e-08,3.6781963430598803e-08,5.8365756903100324e-08
2000,1.1547115243555573e-15,2.053472993947619e-08,1.6560612944463823e-08,-7.993604931416918e-10,4.467922565254412e-08,3.5900047112846774e-08,4.465249826779427e-08
2250,2.4202335929368168e-15,2.1317359679373813e-08,1.5967065172685038e-08,2.1300884865484348e-09,6.907332128491817e-08,4.044567898375817e-08,5.767247120758146e-08
2500,2.056437177255831e-15,3.1387299114370526e-08,2.6055095774035222e-08,-4.499716916533154e-09,6.269817376391984e-08,5.198222998714641e-08,6.069929632701586e-08
2750,1.281098475085674e-15,2.4124092665855896e-08,1.803689832412049e-08,4.956749719670348e-09,6.845885458517387e-08,4.7546642800710946e-08,6.269500135047674e-08
3000,0.0001301292795687914,0.005014381679129544,0.004030818465985429,0.0005701021830122226,0.01184717312206729,0.010509457034863074,0.011677108093824414
3250,9.375406411299089e-16,1.9976179075837815e-08,1.5039538291987463e-08,3.928872972989796e-09,4.461403690925181e-08,4.004925626688305e-08,4.3096123487629245e-08
3500,1.4338367266839903e-15,1.851081239126355e-08,1.446922484472593e-08,3.1065714656804067e-09,5.0670902140836915e-08,3.451047243530069e-08,4.515533726490157e-08
3750,1.8418271922670875e-15,2.1535762683734453e-08,1.6094275415025008e-08,-2.54675100056342e-09,5.423772364565593e-08,4.088944978164477e-08,5.018047270155531e-08
