step,train_mse_norm,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.22097592055797577,0.24018725390847726,0.18837505998325324,-0.02314225204339208,0.7104009477489583,0.42801677091385343,0.6350635186961604
250,1.0889115173995378e-06,0.0005935348213522461,0.0003259230024385049,-1.3844757302922381e-06,0.0019669953479262148,0.001389085387660226,0.00190369097702403
500,3.1664892062577277e-12,9.91017669758216e-07,5.488446871585292e-07,3.313042115781259e-10,3.2947745651767946e-06,2.2952346379945232e-06,3.2140568778338256e-06
750,2.758033296917147e-14,1.0180264526236647e-07,6.643625302803543e-08,5.368793663608682e-10,3.177009570975997e-07,2.0610247348784574e-07,3.134584592601186e-07
1000,4.111010882027703e-15,3.374941257928547e-08,2.4691423805038647e-08,3.312146789639991e-09,1.0445051756846624e-07,7.511545838667637e-08,9.540324830581418e-08
1250,1.993987132120666e-15,2.8609715667354844e-08,2.3356612686259702e-08,2.7982085220352407e-09,7.17549646367388e-08,4.7807358516394054e-08,7.065549086249233e-08
1500,2.125165430596045e-15,2.8026258603409333e-08,2.092661421926323e-08,-4.294141804044622e-09,8.390892070053724e-08,5.0919040361918604e-08,7.782632494013336e-08
1750,3.0757938954313353e-15,3.0157217403983705e-08,2.3074606690984398e-08,2.2842700429594386e-09,8.483325331098968e-08,5.432759611068149e-08,7.375899325978697e-08
2000,2.299298463892584e-15,3.22475025168752e-08,2.5627809842530625e-08,-8.405648790766831e-09,7.661881618048483e-08,6.661696643206476e-08,7.352516327330247e-08
2250,2.9297465688416175e-15,2.696910142662135e-08,2.0005245375608907e-08,-7.984664781209479e-11,6.907332128491817e-08,5.05484770485509e-08,6.245828190643004e-08
2500,3.3355066907954757e-15,3.698666077232429e-08,2.9252464746794733e-08,-6.965728734561102e-10,8.612592061751911e-08,7.124406593561615e-08,8.038341695382195e-08
2750,4.496284665119268e-15,3.4952822248898075e-08,2.6230506232680215e-08,6.292989621467118e-09,1.013218753342926e-07,7.442731906337483e-08,9.562633868753774e-08
3000,7.623742911651906e-15,6.232928426674552e-08,5.155768743153864e-08,1.7805209877914356e-08,1.6776873223989242e-07,1.2949097278891474e-07,1.5823748668708494e-07
3250,2.4212930327394133e-08,6.0896646743887856e-05,4.684444121942699e-05,2.3548629298986157e-05,0.0001929218467520144,9.631996532162289e-05,0.00017385815793284447
3500,2.4807837431712904e-15,2.350395000569531e-08,1.7487834460961862e-08,2.799102325584932e-10,6.907332128491817e-08,4.913434805686732e-08,6.17661214441511e-08
3750,2.3182152507036143e-15,2.9425509179225588e-08,2.2462431956799243e-08,-5.423912324566854e-10,8.520756367147442e-08,5.7992942448237226e-08,7.859252429298629e-08
4000,2.065110794635715e-15,2.437117704077625e-08,1.841367595966674e-08,-8.507542606902721e-10,7.136142876618123e-08,4.16622962795543e-08,6.434070966676579e-08
4250,2.814015821983552e-15,3.390062514366243e-08,2.494849326070824e-08,-6.451790213191089e-10,8.10098601533582e-08,7.066927922849685e-08,7.813085368013614e-08
4500,2.8521797384550417e-15,3.4388967360617386e-08,2.796117580858425e-08,5.624869628274523e-09,7.072093666238288e-08,6.882759278070692e-08,7.004541435762235e-08
4750,1.9213767150249488e-15,3.032602408807819e-08,2.3020218366452483e-08,-4.962261458883534e-09,7.961633841091498e-08,6.850630285271103e-08,7.755776753270991e-08
5000,4.3866667432833e-15,3.527806192635107e-08,2.6346116780270482e-08,8.811287657178603e-09,8.612592061751911e-08,6.907332128491817e-08,8.574939426964078e-08
5250,5.8722507244183056e-15,4.339103341068762e-08,3.536858666259539e-08,2.849602247289611e-09,1.1692066692603476e-07,6.887948247324969e-08,1.1360676253957533e-07
5500,4.9614383138181246e-15,4.308646790757105e-08,3.54216857327098e-08,-1.0204433192619771e-08,1.0595422139658695e-07,7.39360034529568e-08,9.62397674797443e-08
5750,6.9239886651343945e-15,6.597496713772772e-08,5.2044050169981694e-08,-2.8706215901696028e-08,1.7411533370648158e-07,1.1411611380296448e-07,1.6426215200482366e-07
6000,8.80600540403842e-12,2.497604433924035e-06,1.95761663852812e-06,9.597515199931736e-07,7.362236727814775e-06,4.391209413689975e-06,6.496296305833474e-06
6250,3.96265052021727e-15,4.1307701517300586e-08,3.133788153842856e-08,-1.1797642397395758e-08,1.268062757020516e-07,7.387624672006153e-08,1.0612738158499705e-07
6500,3.774474527688202e-15,3.89696040085052e-08,3.133890087119491e-08,-5.73316898717329e-09,1.1779321695826184e-07,6.745149363496237e-08,1.0246761087628883e-07
6750,1.615478347068936e-14,5.609276858869433e-08,4.4076313857980644e-08,-1.2722731270625466e-08,1.098315216552237e-07,1.0607292644237985e-07,1.0929566446549188e-07
7000,1.5401086777958907e-14,6.317480422093214e-08,5.1114470878133034e-08,-8.302861044198618e-09,1.6538667679810715e-07,1.1917538245143073e-07,1.514596052665239e-07
7250,2.122876662869269e-14,6.50718137046251e-08,4.9307600669123985e-08,-1.056419007299036e-08,1.7268330410047383e-07,1.3188505016969986e-07,1.7268330410047383e-07
7500,1.0230366900843002e-12,4.582018893823113e-07,3.7404698394723144e-07,3.296639295938132e-08,1.2977204679742727e-06,8.740356159719908e-07,1.1364296919502677e-06
7750,4.924596192260825e-15,4.00076870303411e-08,3.2816657454962494e-08,-3.8315970925174e-09,1.1090661011792236e-07,6.8958915910855e-08,9.807759871804922e-08
8000,5.540010097670805e-15,4.0453800126128574e-08,3.301725809159333e-08,4.854856834007088e-10,8.399741346920564e-08,7.162384001446752e-08,7.955183615848678e-08
8250,1.7396101784561066e-14,5.7549310933235445e-08,4.27826807208611e-08,1.7651028363797563e-08,1.7268330410047383e-07,1.222776465858998e-07,1.5852327360121865e-07
8500,9.21630149974817e-09,4.2902966254357244e-05,3.469075025138343e-05,4.343933134341528e-06,0.000106512896707045,7.897514949872786e-05,9.86323144815237e-05
8750,5.709434474813558e-15,3.75968696548501e-08,2.9136280309062712e-08,-1.0872553185812368e-08,1.0215281243119989e-07,7.199821281389517e-08,9.070484457751594e-08
9000,5.332586551964804e-15,4.542425086958202e-08,3.861751549226797e-08,-2.8542209865431035e-10,1.0883797330052403e-07,7.381376603277088e-08,9.91495053526136e-08
9250,2.277234017946262e-14,4.876757048270726e-08,3.893488748338942e-08,8.862681593904025e-09,1.1341531092057267e-07,8.876995885032102e-08,1.1045935742970411e-07
9500,2.571690961312295e-14,6.836883003185155e-08,4.953962949913592e-08,-2.4132164161152386e-08,1.9547374741080148e-07,1.4710121005734308e-07,1.819712143635853e-07
9750,6.49880912972911e-11,3.4595357038970046e-06,2.612118080185561e-06,-3.9812514191204345e-07,7.391459892147623e-06,6.955104700256953e-06,7.261503616522446e-06
10000,6.846174289368984e-15,4.578328553513445e-08,3.8103081325045555e-08,1.6161500920610533e-09,1.1414987888258565e-07,7.864978259775055e-08,1.0584215878850492e-07
