step,total_loss,data_loss,curv_loss_raw,curv_loss_weighted,lambda_curv_eff,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3929702341556549,0.3929702341556549,9.363070487976074,2.340767553746237e-13,2.5e-14,0.25181526821874395,0.20885136499795545,-0.03735146626183782,0.5973601632813885,0.43979084730772305,0.5354874298925288
250,1.3568747903036638e-08,6.284806008949317e-09,1165.4307861328125,7.28394233817653e-09,6.25e-12,4.42515634933745e-05,2.8395149671102072e-05,-1.085465469465757e-07,0.00011054296318491197,0.0001074039284506333,0.00010992808889650262
500,1.4568414918869621e-08,4.8375908313913474e-14,1165.4693603515625,1.4568366957234957e-08,1.25e-11,1.2389959557379773e-07,8.811628459697084e-08,8.19545616555691e-10,3.2352711087924035e-07,2.675528538276238e-07,3.1576414933454083e-07
750,2.1852436304925504e-08,7.865324331505358e-15,1165.462890625,2.1852429199498147e-08,1.875e-11,4.8735400168752264e-08,3.590284446461499e-08,-4.114263215829592e-09,1.448750772681251e-07,9.337620960891967e-08,1.3459004925664422e-07
1000,2.9136145940356073e-08,8.692043734618606e-15,1165.4454345703125,2.9136137058571876e-08,2.5e-11,5.5469515261757004e-08,4.0213849731666564e-08,2.8752991945052166e-09,1.448750772681251e-07,1.1183245893775505e-07,1.324575341676847e-07
1250,3.641888923766601e-08,1.5394190235702362e-14,1165.404052734375,3.641887502681129e-08,3.125e-11,7.214525777070232e-08,5.521378888487117e-08,-1.480418196496744e-08,2.398508947010214e-07,1.3783214800611173e-07,2.100958241157966e-07
1500,4.36996288044611e-08,2.1024606277415987e-14,1165.3228759765625,4.3699607488179026e-08,3.75e-11,8.517901651160507e-08,7.121042963763643e-08,-8.020194963180637e-09,2.1394839855304326e-07,1.3809220904548168e-07,1.83467118457514e-07
1750,5.0976709076167026e-08,2.900862872395188e-14,1165.1812744140625,5.0976680654457596e-08,4.3750000000000004e-11,9.97410609244796e-08,7.742645356602549e-08,1.017322463307361e-08,2.689966596136628e-07,1.842141515773221e-07,2.5369652167483976e-07
2000,5.824790960673454e-08,4.888575438552478e-14,1164.9571533203125,5.8247859868743035e-08,5e-11,1.2180795098100937e-07,9.020440864101634e-08,-1.4084668119637844e-08,4.3843669494947335e-07,2.0694967792778126e-07,3.4845378539927115e-07
2250,1.8036855635727989e-06,1.7496710142950178e-06,1080.2921142578125,5.4014606121199904e-08,5e-11,0.0009710222423162498,0.0007900446130158791,0.00024004744405347638,0.0021444164243540342,0.0018829014966699191,0.0021360859424972034
2500,5.396418245595669e-08,4.61967263217216e-14,1079.28271484375,5.3964136270678864e-08,5e-11,1.2769489439353632e-07,9.033557123502977e-08,1.6366182314137793e-08,3.8744876462715183e-07,3.250990905812041e-07,3.672034632984376e-07
2750,5.395925839479787e-08,4.706924818442468e-14,1079.1842041015625,5.3959212209520047e-08,5e-11,1.27781776661852e-07,8.954218767512213e-08,1.081564763675639e-08,3.035333211443003e-07,2.9070526110785964e-07,3.004423425778668e-07
3000,5.3953058909428364e-08,5.140452882692985e-14,1079.0601806640625,5.395300917143686e-08,5e-11,1.2802282547894221e-07,9.532107678839317e-08,6.447171135583912e-09,3.1837544156587683e-07,2.9405059285281235e-07,3.122901721930304e-07
3250,5.394536373160008e-08,4.402906397761239e-14,1078.9063720703125,5.3945321099035937e-08,5e-11,1.1725106002769411e-07,9.22701263543028e-08,-2.0842064159188298e-09,3.270096069485362e-07,2.340830495661805e-07,2.980716698175454e-07
3500,5.393591351321447e-08,5.446177227729984e-14,1078.7171630859375,5.393586022250929e-08,5e-11,1.1887673875496403e-07,8.736380571353461e-08,1.5441093102554404e-08,3.650676703159661e-07,2.4139179402027364e-07,3.494638643353197e-07
3750,5.392448443330977e-08,4.545166258878956e-14,1078.48876953125,5.392443824803195e-08,5e-11,1.2305707898666787e-07,8.720539938844056e-08,2.0272114315254103e-08,4.7621662524477415e-07,2.2600883315959654e-07,3.8672168601649934e-07
4000,5.391086688177893e-08,4.804924497560717e-14,1078.21630859375,5.3910817143787426e-08,5e-11,1.376591293024642e-07,9.872962443358531e-08,2.9317430176655804e-08,3.7990326973158517e-07,3.2373201097612965e-07,3.627516213100533e-07
4250,5.3894712692681424e-08,5.4021691227356186e-14,1077.8931884765625,5.389465940197624e-08,5e-11,1.3988680847480443e-07,1.059149946583272e-07,7.937592466909055e-09,4.158970998702216e-07,2.66892878020286e-07,3.6467532114059463e-07
4500,5.38757625179187e-08,5.292340459102374e-14,1077.51416015625,5.387570922721352e-08,5e-11,1.478655662287665e-07,1.0655883121911205e-07,-1.7399570926914165e-08,4.9969291104901e-07,2.6974147946390295e-07,4.192674791880783e-07
4750,8.991759386844933e-06,8.936712220020127e-06,1100.9486083984375,5.504742972561871e-08,5e-11,0.001063133768779381,0.0008991133299475049,0.00020188918772566313,0.00285054112751304,0.0017476198749879043,0.002411595488147636
5000,5.509171430162496e-08,4.767458536237765e-14,1101.8333740234375,5.5091668116347137e-08,5e-11,1.3942240249163554e-07,1.0897843195052593e-07,1.9218540663652154e-08,4.0903417719562185e-07,2.2012651506031484e-07,3.799388567138348e-07
5250,5.506145228650894e-08,8.015018092581358e-14,1101.2274169921875,5.5061370574094326e-08,5e-11,1.4344302140685477e-07,1.0907405658043348e-07,9.659286069409388e-09,3.7449751566498435e-07,3.104089159045031e-07,3.7372225763832035e-07
5500,5.5026539769187366e-08,7.35197357637149e-14,1100.529296875,5.502646516220011e-08,5e-11,1.457975772487196e-07,1.1545467891779925e-07,-3.76744408791567e-08,3.38069980898581e-07,3.103260795889184e-07,3.349790030604538e-07
5750,5.49647118930352e-08,2.1922147257213975e-12,1099.2503662109375,5.496251986869538e-08,5e-11,8.945743524481602e-07,7.568793666310046e-07,-3.3681229005821933e-07,1.5754992901406695e-06,1.4834734458624153e-06,1.5484542189092562e-06
6000,5.491967414172905e-08,6.567003071975691e-14,1098.3922119140625,5.491961019288283e-08,5e-11,1.2371847337565476e-07,9.26498145505304e-08,-5.964441427525322e-09,3.4346087751657706e-07,2.4598143815168773e-07,3.1724581400993635e-07
6250,8.57645136420615e-05,8.570933277951553e-05,1103.653076171875,5.518265311366122e-08,5e-11,0.004221271613477191,0.0033699708385150273,0.000659183872092998,0.009253303876942454,0.008318992454837646,0.00920569894135232
6500,5.5351190297869834e-08,6.005993499844792e-14,1107.0225830078125,5.5351129901737295e-08,5e-11,1.5833505803451232e-07,1.2992996325405805e-07,-2.5802463826927297e-08,4.3925375514675125e-07,2.809663944169925e-07,3.800969867384646e-07
6750,8.076013102709112e-08,2.6102936701022372e-08,1093.1439208984375,5.465719610242559e-08,5e-11,0.00012000854754199199,9.598956016908575e-05,-1.4350859041429536e-05,0.00025687960230769136,0.0002333260200859221,0.000247691163586392
7000,5.460044505412043e-08,5.2553989805803614e-14,1092.0078125,5.4600391763415246e-08,5e-11,1.4658330419989745e-07,1.1554201172545152e-07,-2.654767449258987e-08,3.5059460046227287e-07,2.9508215444451474e-07,3.418360842566414e-07
7250,5.833463134763406e-08,3.796099878883297e-09,1090.7706298828125,5.453853191283997e-08,5e-11,5.077583891532557e-05,3.8592259827533816e-05,-1.1761637353031807e-05,0.00016214771703815245,0.00010494846903119635,0.00015002978700891833
7500,5.56188126665802e-08,1.0299408353085793e-13,1112.3741455078125,5.561870963788351e-08,5e-11,1.683078816113456e-07,1.247602530068683e-07,-5.2321685608430495e-08,4.5652208591207e-07,3.581882733527659e-07,4.534041818615719e-07
7750,3.22554541298814e-07,2.670498702173063e-07,1110.093505859375,5.5504674634221374e-08,5e-11,0.001469229856656209,0.00117344708144199,-0.0007867202883825744,0.0036238626922937556,0.002576352073802822,0.0034967279512925476
8000,5.5414513866480775e-08,3.7633562715785884e-13,1108.28271484375,5.541413727883082e-08,5e-11,3.340205383036217e-07,2.821748871810536e-07,4.6817033001678696e-08,7.917475155494458e-07,5.673172771558653e-07,7.190900275766403e-07
8250,1.5424267985508777e-05,1.536907620902639e-05,1103.834716796875,5.519173740253791e-08,5e-11,0.0028523294929885335,0.002389695313573042,-0.00034508479330017767,0.006946988680709865,0.005051173283838659,0.006450217615549945
8500,7.709825695201289e-06,7.654251930944156e-06,1111.4842529296875,5.5574211899056536e-08,5e-11,0.0017111544359564705,0.0014660402473510594,0.0010554040949826466,0.003401898227737732,0.0031156183507474273,0.0033208711193682197
8750,6.486617820655738e-08,9.18212172962285e-09,1113.68115234375,5.568405825329137e-08,5e-11,4.5659702236139536e-05,4.2842102707219e-05,-1.8164409601847557e-06,6.999573420074512e-05,6.64530582028533e-05,6.939020376686144e-05
9000,1.2063260612649174e-07,6.467532642773222e-08,1119.1456298828125,5.59572832514732e-08,5e-11,0.00013170880043372963,0.00010119736613324801,6.090491044157582e-05,0.0002497938627215035,0.00023574235970942318,0.00024504741970517326
9250,1.271299936433934e-07,7.145615654735593e-08,1113.4765625,5.56738299906101e-08,5e-11,0.0001416593110631685,0.00010653887449373927,1.9087438361642923e-05,0.0004392001205602014,0.00023578862752531292,0.0003900234215343974
9500,3.3178605463035638e-06,3.262066911702277e-06,1115.873291015625,5.579366657570972e-08,5e-11,0.0010872390537677238,0.0009151005691590526,-0.000631811004175494,0.0024385367422645743,0.0019836759708244485,0.0023196167945813773
9750,3.3806041756179184e-05,3.375067899469286e-05,1107.2203369140625,5.5361017103905397e-08,5e-11,0.0037830031768029903,0.0030634980785430614,-0.0010242620027976252,0.008811472556843114,0.007557425157231454,0.008436507823972117
10000,4.086487024324015e-06,4.031339358334662e-06,1102.9498291015625,5.514749190638213e-08,5e-11,0.000983222321632526,0.0007390504778907485,-0.00029573981957275476,0.002738223022591413,0.0018800481622256436,0.002691045947160333
